Date,Article Count,Mean Author Count,Std Author Count,Min Author Count,25% Percentile,50% Percentile,75% Percentile,Max Author Count
2020-10-03,286748.0,5.705302216580412,15.87220856860578,1.0,2.0,4.0,7.0,3572.0
2020-10-01,284965.0,5.698310318811082,15.898222515855393,1.0,2.0,4.0,7.0,3572.0
2020-09-28,282714.0,5.691727328678453,15.759955525463475,1.0,2.0,4.0,7.0,3572.0
2020-09-27,282025.0,5.690431699317436,15.776223861250315,1.0,2.0,4.0,7.0,3572.0
2020-09-26,280697.0,5.686223935417906,15.795003537808755,1.0,2.0,4.0,7.0,3572.0
2020-09-25,279475.0,5.682282851775651,15.816776611501057,1.0,2.0,4.0,7.0,3572.0
2020-09-24,277018.0,5.676374820408782,15.876546731193486,1.0,2.0,4.0,7.0,3572.0
2020-09-23,275270.0,5.673876557561667,15.927699166823936,1.0,2.0,4.0,7.0,3572.0
2020-09-22,274033.0,5.739830604343273,16.077305135060914,1.0,2.0,4.0,7.0,3572.0
2020-09-21,273419.0,5.738269834941976,16.083908956285374,1.0,2.0,4.0,7.0,3572.0
2020-09-20,273040.0,5.740807207735131,16.0934587249604,1.0,2.0,4.0,7.0,3572.0
2020-09-19,270934.0,5.739216931060701,16.161661130552194,1.0,2.0,4.0,7.0,3572.0
2020-09-18,268164.0,5.670145880878865,16.21165239593897,1.0,2.0,4.0,7.0,3572.0
2020-09-17,266175.0,5.685778153470461,16.257265714202646,1.0,2.0,4.0,7.0,3572.0
2020-09-16,266073.0,5.688919958056624,16.271099199965764,1.0,2.0,4.0,7.0,3572.0
2020-09-15,262515.0,5.689880578252671,16.358923385974652,1.0,2.0,4.0,7.0,3572.0
2020-09-14,261133.0,5.672791259626321,16.38911107743208,1.0,2.0,4.0,7.0,3572.0
2020-09-11,253454.0,5.694271938892265,16.511227536702844,1.0,2.0,4.0,7.0,3572.0
2020-09-09,251733.0,5.696694513631506,16.56013546482634,1.0,2.0,4.0,7.0,3572.0
2020-09-08,250165.0,5.691567565406832,16.426647346786666,1.0,2.0,4.0,7.0,3572.0
2020-09-03,245057.0,5.681270071860832,16.562462637590542,1.0,2.0,4.0,7.0,3572.0
2020-09-02,243822.0,5.68063587371115,16.59532711585918,1.0,2.0,4.0,7.0,3572.0
2020-09-01,242164.0,5.681364695000083,16.64787204339534,1.0,2.0,4.0,7.0,3572.0
2020-08-29,239000.0,5.673037656903766,16.748799791771738,1.0,2.0,4.0,7.0,3572.0
2020-08-28,238674.0,5.671170718218155,16.750024254606988,1.0,2.0,4.0,7.0,3572.0
2020-08-27,237207.0,5.670540919955988,16.794706314850092,1.0,2.0,4.0,7.0,3572.0
2020-08-26,235767.0,5.665546917083391,16.8334334468346,1.0,2.0,4.0,7.0,3572.0
2020-08-25,234284.0,5.660698127059466,16.875442631290802,1.0,2.0,4.0,7.0,3572.0
2020-08-24,233539.0,5.657727403131811,16.850033287086283,1.0,2.0,4.0,7.0,3572.0
2020-08-23,233284.0,5.6567317089899,16.8562545147491,1.0,2.0,4.0,7.0,3572.0
2020-08-22,231812.0,5.653805670111987,16.910191100016604,1.0,2.0,4.0,7.0,3572.0
2020-08-21,230323.0,5.647829352691655,16.946426707930186,1.0,2.0,4.0,7.0,3572.0
2020-08-20,229892.0,5.651723417952778,16.97084737453088,1.0,2.0,4.0,7.0,3572.0
2020-08-19,228592.0,5.655714110730035,17.02532595940363,1.0,2.0,4.0,7.0,3572.0
2020-08-18,227448.0,5.649229714044528,17.04926704015791,1.0,2.0,4.0,7.0,3572.0
2020-08-17,227102.0,5.646542082412308,17.05030424356615,1.0,2.0,4.0,7.0,3572.0
2020-08-16,226612.0,5.647339946693026,17.07621070955659,1.0,2.0,4.0,7.0,3572.0
2020-08-15,224653.0,5.639390526723436,17.13836503324891,1.0,2.0,4.0,7.0,3572.0
2020-08-14,216583.0,5.658117211415485,17.369750041519833,1.0,2.0,4.0,7.0,3572.0
2020-08-13,215527.0,5.658372268903664,17.416630068743533,1.0,2.0,4.0,7.0,3572.0
2020-08-12,213210.0,5.649078373434642,17.4870740072599,1.0,2.0,4.0,7.0,3572.0
2020-08-11,212725.0,5.65210483017981,17.518294325727087,1.0,2.0,4.0,7.0,3572.0
2020-08-10,211900.0,5.653605474280321,17.558082346739546,1.0,2.0,4.0,7.0,3572.0
2020-08-08,210537.0,5.650033010824701,17.60713020719452,1.0,2.0,4.0,7.0,3572.0
2020-08-07,211233.0,5.657463559197663,17.567663406604616,1.0,2.0,4.0,7.0,3572.0
2020-08-06,210405.0,5.657446353461182,17.60911975330481,1.0,2.0,4.0,7.0,3572.0
2020-08-05,209039.0,5.6523041154999785,17.64757762386342,1.0,2.0,4.0,7.0,3572.0
2020-08-04,207595.0,5.647607119631976,17.70031588957615,1.0,2.0,4.0,7.0,3572.0
2020-08-03,207311.0,5.648658295990082,17.713216133165037,1.0,2.0,4.0,7.0,3572.0
2020-08-02,206743.0,5.646943306423918,17.731711322666357,1.0,2.0,4.0,7.0,3572.0
2020-08-01,205709.0,5.640652572323039,17.770452466930397,1.0,2.0,4.0,7.0,3572.0
2020-07-31,204823.0,5.6436825942399045,17.825641077307402,1.0,2.0,4.0,7.0,3572.0
2020-07-30,203522.0,5.642702017472312,17.85497008642935,1.0,2.0,4.0,7.0,3572.0
2020-07-29,203128.0,5.639463786381001,17.6477246991471,1.0,2.0,4.0,7.0,3572.0
2020-07-28,202139.0,5.636299773917948,17.676268327757757,1.0,2.0,4.0,7.0,3572.0
2020-07-27,199092.0,5.619602997609146,17.004486568787815,1.0,2.0,4.0,7.0,3572.0
2020-07-26,198592.0,5.619294835642926,17.01677182270479,1.0,2.0,4.0,7.0,3572.0
2020-07-25,198594.0,5.623442802904418,17.031545699487737,1.0,2.0,4.0,7.0,3572.0
2020-07-24,198338.0,5.619896338573546,17.027095705278366,1.0,2.0,4.0,7.0,3572.0
2020-07-23,198129.0,5.624290235149827,17.04327039037026,1.0,2.0,4.0,7.0,3572.0
2020-07-22,197412.0,5.62291046137013,17.077824504480958,1.0,2.0,4.0,7.0,3572.0
2020-07-21,196630.0,5.62279408025225,17.109349628693803,1.0,2.0,4.0,7.0,3572.0
2020-07-20,195711.0,5.611002958443828,17.14515991285037,1.0,2.0,4.0,7.0,3572.0
2020-07-16,192509.0,5.610288350155058,17.277214128171728,1.0,2.0,4.0,7.0,3572.0
2020-07-15,191355.0,5.599649865433356,17.306034717222552,1.0,2.0,4.0,7.0,3572.0
2020-07-14,190647.0,5.597491699318636,17.33558678447193,1.0,2.0,4.0,7.0,3572.0
